Date,Open,High,Low,Close,Volume
29-Mar-17,49.99,50.32,49.93,50.14,6115641
28-Mar-17,49.24,49.98,49.10,49.76,11899958
27-Mar-17,48.74,49.66,48.74,49.30,6153016
24-Mar-17,48.97,49.40,48.74,49.12,5562787
23-Mar-17,48.64,48.88,48.13,48.78,5564206
22-Mar-17,48.07,48.72,47.80,48.68,6831866
21-Mar-17,49.10,49.44,48.17,48.22,9737811
20-Mar-17,49.16,49.39,48.58,48.96,4627228
17-Mar-17,49.39,49.39,48.86,49.13,7888683
16-Mar-17,49.30,49.46,48.93,49.10,4771319
15-Mar-17,49.06,49.44,48.62,49.22,5749186
14-Mar-17,49.21,49.35,48.96,49.08,6286746
13-Mar-17,49.30,49.70,49.13,49.50,7133042
10-Mar-17,49.33,49.57,48.80,49.20,6812249
9-Mar-17,48.67,49.09,48.53,49.02,7193022
8-Mar-17,48.12,48.77,48.00,48.58,6803365
7-Mar-17,47.73,48.36,47.57,48.06,8044489
6-Mar-17,46.75,47.91,46.75,47.81,8143899
3-Mar-17,46.55,47.16,46.50,47.07,5057702
2-Mar-17,47.13,47.27,46.56,46.68,7556131
1-Mar-17,45.47,47.33,45.18,47.14,15286335
28-Feb-17,45.50,45.95,44.94,45.13,9161090
27-Feb-17,45.33,46.07,45.02,45.69,5205717
24-Feb-17,44.94,45.62,44.84,45.55,5992237
23-Feb-17,45.30,45.39,44.60,45.08,5617262
22-Feb-17,45.05,45.42,44.68,45.23,6311594
21-Feb-17,45.41,45.75,45.31,45.34,6674982
17-Feb-17,45.40,45.44,44.93,45.33,5442092
16-Feb-17,45.37,45.65,45.06,45.39,8534848
15-Feb-17,44.72,45.63,44.47,45.48,11280785
14-Feb-17,45.25,45.84,44.75,44.98,15305660
13-Feb-17,46.04,46.70,45.39,45.70,26382661
10-Feb-17,45.00,47.64,44.93,47.23,51703513
9-Feb-17,39.41,39.78,38.93,39.73,15752247
8-Feb-17,40.10,40.12,39.15,39.19,12140740
7-Feb-17,40.22,40.65,39.85,40.05,9390760
6-Feb-17,40.04,40.22,39.65,40.19,8967755
3-Feb-17,40.71,40.73,39.90,40.01,9142796
2-Feb-17,40.46,40.60,40.03,40.47,6112513
1-Feb-17,40.32,40.56,39.15,40.47,10384669
31-Jan-17,39.60,40.28,39.52,40.21,10039985
30-Jan-17,39.57,39.76,39.46,39.61,5838228
27-Jan-17,39.68,39.73,39.41,39.61,5050523
26-Jan-17,39.68,39.69,39.32,39.47,3206357
25-Jan-17,39.38,39.59,39.12,39.56,5079952
24-Jan-17,38.56,39.15,38.38,39.10,8364712
23-Jan-17,38.96,39.11,38.49,38.53,5130851
20-Jan-17,39.01,39.25,38.65,38.97,6106829
19-Jan-17,39.05,39.15,38.81,38.86,4611922
18-Jan-17,39.00,39.13,38.71,39.08,4404867
17-Jan-17,38.95,39.24,38.67,38.95,5458424
13-Jan-17,38.68,39.36,38.59,38.95,6372891
12-Jan-17,38.99,39.40,38.56,39.13,7859976
11-Jan-17,38.47,39.28,38.30,39.20,9481844
10-Jan-17,37.67,38.49,37.49,38.38,7640974
9-Jan-17,38.09,38.16,37.37,37.70,5432644
6-Jan-17,37.95,38.19,37.82,37.91,8365085
5-Jan-17,37.50,38.26,37.39,37.94,9814411
4-Jan-17,36.77,37.53,36.64,37.36,7643033
3-Jan-17,36.44,36.79,36.18,36.64,8360626
30-Dec-16,36.53,36.56,35.95,36.11,5091052
29-Dec-16,36.50,36.78,36.29,36.48,3855667
28-Dec-16,36.66,36.93,36.22,36.43,4925979
27-Dec-16,36.55,36.80,36.47,36.53,2552688
23-Dec-16,36.44,36.75,36.40,36.50,2713883
22-Dec-16,36.90,36.94,36.26,36.44,5128900
21-Dec-16,36.92,37.16,36.57,36.90,6008724
20-Dec-16,36.67,37.20,36.64,36.83,5730884
19-Dec-16,36.33,36.78,35.86,36.63,4941171
16-Dec-16,37.05,37.23,36.32,36.47,7632369
15-Dec-16,36.90,37.45,36.61,36.99,6676578
14-Dec-16,37.23,37.28,36.12,36.74,13216431
13-Dec-16,37.39,38.16,37.19,37.32,9555859
12-Dec-16,36.77,37.31,36.56,37.17,5379929
9-Dec-16,37.20,37.39,36.35,36.79,9203144
8-Dec-16,37.45,37.62,37.18,37.39,7015539
7-Dec-16,36.74,37.55,36.69,37.45,7164769
6-Dec-16,36.60,37.04,36.39,36.70,7291103
5-Dec-16,36.01,36.58,35.89,36.48,8661522
2-Dec-16,35.66,36.02,35.12,35.71,7256514
1-Dec-16,36.65,36.73,35.46,35.58,12374430
30-Nov-16,38.06,38.16,36.58,36.61,12091476
29-Nov-16,37.30,38.03,37.06,37.95,9710752
28-Nov-16,37.37,37.73,37.28,37.37,5779979
25-Nov-16,37.45,37.58,37.20,37.22,3206319
23-Nov-16,36.55,37.54,36.32,37.26,11775710
22-Nov-16,38.43,38.49,36.89,37.17,22636221
21-Nov-16,38.58,38.64,37.76,38.43,11460194
18-Nov-16,39.92,40.20,38.13,38.39,18679106
17-Nov-16,39.07,40.19,38.95,39.94,11677619
16-Nov-16,38.51,39.04,38.14,38.97,8134064
15-Nov-16,38.00,39.14,37.94,38.53,13211748
14-Nov-16,39.21,39.53,37.74,37.77,14885815
11-Nov-16,38.43,39.45,38.23,39.41,10626514
10-Nov-16,40.35,40.40,38.47,38.70,15002507
9-Nov-16,40.19,40.70,39.35,40.15,13194347
8-Nov-16,41.01,41.49,40.82,41.01,15018801
7-Nov-16,42.52,42.56,40.86,41.09,17854249
4-Nov-16,41.04,43.24,40.86,41.70,18751864
3-Nov-16,42.96,43.67,42.63,43.37,12822720
2-Nov-16,42.63,43.09,42.26,42.60,7792851
1-Nov-16,43.27,43.37,42.42,42.60,11286754
31-Oct-16,43.42,43.63,43.00,43.17,7173977
28-Oct-16,43.64,43.86,42.96,43.32,8982040
27-Oct-16,44.65,44.82,43.70,43.72,5590624
26-Oct-16,44.95,45.01,44.40,44.44,4894599
25-Oct-16,45.53,45.55,44.96,45.06,3680443
24-Oct-16,44.90,45.49,44.65,45.47,6608280
21-Oct-16,44.32,44.65,43.91,44.54,4296680
20-Oct-16,43.92,44.39,43.52,44.32,4867284
19-Oct-16,44.23,44.29,43.72,43.79,4531099
18-Oct-16,44.01,44.75,43.96,44.18,7676348
17-Oct-16,43.63,43.70,43.33,43.53,4725816
14-Oct-16,43.57,44.33,43.41,43.69,8669042
13-Oct-16,42.98,43.43,42.63,43.16,4186362
12-Oct-16,42.79,43.40,42.70,43.33,5586495
11-Oct-16,43.56,43.64,42.51,42.90,7005641
10-Oct-16,43.96,44.24,43.70,43.79,4564429
7-Oct-16,44.09,44.47,43.72,43.92,5604240
6-Oct-16,44.55,44.60,43.76,43.99,6222544
5-Oct-16,44.10,44.61,43.99,44.53,5806981
4-Oct-16,44.20,44.35,43.78,44.13,5786489
3-Oct-16,44.30,44.55,43.96,44.10,5452284
30-Sep-16,44.37,44.46,43.98,44.30,7844473
29-Sep-16,44.15,44.42,43.83,44.21,8464849
28-Sep-16,44.20,44.42,43.76,44.16,5579745
27-Sep-16,43.91,44.27,43.66,44.21,8861960
26-Sep-16,44.22,44.34,43.93,43.98,4426552
23-Sep-16,44.98,45.12,44.10,44.36,8694746
22-Sep-16,44.86,45.12,44.41,44.51,5873362
21-Sep-16,44.89,44.89,43.85,44.67,9032909
20-Sep-16,44.26,44.78,44.10,44.13,6055798
19-Sep-16,44.58,44.84,44.00,44.12,8135829
16-Sep-16,44.67,44.67,44.05,44.42,40786800
15-Sep-16,43.62,44.76,43.50,44.59,12342033
14-Sep-16,43.48,44.03,43.43,43.66,7776127
13-Sep-16,43.22,43.57,42.79,43.41,9134971
12-Sep-16,41.95,43.54,41.85,43.46,11055501
9-Sep-16,42.79,43.15,42.29,42.29,8149637
8-Sep-16,43.36,43.38,42.73,43.30,8130062
7-Sep-16,43.74,44.23,43.23,43.38,9687107
6-Sep-16,43.00,43.68,42.60,43.51,13585958
2-Sep-16,42.29,43.10,42.23,42.80,8730695
1-Sep-16,41.44,42.28,41.41,42.15,7821223
31-Aug-16,41.41,41.56,41.12,41.37,5751171
30-Aug-16,41.33,41.62,41.13,41.58,5658039
29-Aug-16,41.11,41.60,41.02,41.29,5917403
26-Aug-16,40.95,41.21,40.65,41.05,6890846
25-Aug-16,40.47,41.00,40.40,40.99,7901460
24-Aug-16,40.68,40.75,40.44,40.67,5037760
